DEELGEMEENTE;STRAAT;NUMMER;TYPE;LIGGING;MI_STYLE;MI_PRINX;latWGS84;loWGS84;Aangemaakt op
Zeebrugge;SINT-GEORGES-DAY-WANDELING;ZB012;ZD;;Symbol (35, 0, 12);947;51.3327329360697;3.18105457148929;30/10/2017
Sint-Andries;SINT-BAAFSSTRAAT;SA085;F;aan dienstcentrum 't Pleintje;Symbol (35, 0, 12);1232;51.1990800403292;3.19979847506842;30/10/2017
Sint-Jozef;FORT LAPIN;SJ037;F;op hoek met Havenstraat;;1696;51.2228370248226;3.22747083334633;30/10/2017
Assebroek;SINT-LUCASLAAN;AS040;F;aan bushalte t.h.v. Sint-Lucasziekenhuis;Symbol (35, 0, 12);1511;51.1857914849194;3.2477907098198;30/10/2017
Koolkerke;BRUGSE STEENWEG;KO003;F;r.o. nr298;Symbol (35, 0, 12);1136;51.241252856111;3.24892213992622;30/10/2017
Centrum;KETSBRUGGESTRAAT;BR169;FL;rechts naast inrit parking;Symbol (35, 0, 12);679;51.1979234921912;3.2208524969373;30/10/2017
Assebroek;COLLEGESTRAAT;AS037;F;aan bushalte OLV-college;;26;51.2039017620542;3.24996595173838;30/10/2017
Assebroek;SCHIJFSTRAAT;AS138;F;op speelplein (ingang thv nr. 61) aan toegang Duiventorenstraat;;1725;51.1882410223606;3.23685454283427;30/10/2017
Centrum;;BR317;L;tussen 2 banken aan struikgewas;Symbol (35, 0, 12);1034;51.2091582178376;3.21795267255704;30/10/2017
Sint-Kruis;MALEHOEKLAAN;SK108;F;aan bushalte op hoek met Markgraafstraat;Symbol (35, 0, 12);1474;51.2203333512828;3.27754528263734;30/10/2017
Sint-Andries;SINT-JANSDREEF;SA032;F;aan bank aan speeltuin;;1792;51.2065842056819;3.20973904644696;30/10/2017
Assebroek;GENERAAL LEMANLAAN;AS062;FL;aan bushalte thv nr. 196;;49;51.2009257950063;3.24487510231111;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM127;F;Domein Park De Rode Poort op speelplein aan picknicktafel;;1709;51.177260940392;3.21041601564681;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;239;51.192692886557;3.18135900237914;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA018;F;aan kruispunt van 2 wegels;Symbol (35, 0, 12);1219;51.205658247986;3.18112503514725;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA025;F;aan ingang sporthal;Symbol (35, 0, 12);1493;51.2012583633384;3.17988859123022;30/10/2017
Sint-Kruis;BRIEVERSWEG;SK051;F;r.o. nr. 108 aan glasbol;;1762;51.2129473617267;3.26116612391258;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM044;F;aan bushalte thv gemeentehuis;Symbol (35, 0, 12);1151;51.1881634061696;3.21120822892662;30/10/2017
Sint-Pieters;SINT-PIETERSPLAS;SP090;F;aan vogelkijkpunt ten westen van de plas;Symbol (35, 0, 12);1459;51.2316742012266;3.1901253833584;30/10/2017
Sint-Andries;ALBERT SERREYNSTRAAT;SA027;F;op parking aan glasbol;;117;51.1981435504527;3.18106355531341;30/10/2017
Sint-Pieters;TEMPELHOF;SP067;F;aan skateterrein (2e deel Tempelhof-onder spoorwegbrug door);Symbol (35, 0, 12);467;51.2289363065923;3.20327502399227;30/10/2017
Koolkerke;3037;KO027;F;op speelplein einde straat;;1579;51.2328082478423;3.23579192971122;30/10/2017
Sint-Kruis;PAALBOS;SK009;F;aan speelplein;Symbol (35, 0, 12);1198;51.2007245423142;3.27152197196385;30/10/2017
Sint-Pieters;BLANKENBERGSE DIJK;SP034;F;op hoek met St-Pietersmolenstraat;Symbol (35, 0, 12);442;51.2326275989281;3.20025712199588;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1373;51.1926964881924;3.18056403125966;30/10/2017
Centrum;ZUIDZANDSTRAAT;BR398;L;thv nr 14 (Zilversteeg);Symbol (35, 0, 12);853;51.2055709309935;3.2202714541987;30/10/2017
Assebroek;EDWARD DE DENESTRAAT;AS146;F;op hoek met Vestingsstraat;;1822;51.1991207015958;3.23262632233851;30/10/2017
Sint-Andries;DOORNSTRAAT;SA067;F;aan bushalte r.o. nr 32;;147;51.1934045635993;3.19296733601854;30/10/2017
Sint-Andries;KNOTWILGENLAAN;SA010;F;aan speelplein;;116;51.2073239414976;3.17701844064513;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM094;F;aan inrit veemarkt;Symbol (35, 0, 12);402;51.1880332906283;3.19542431361663;30/10/2017
Brugge;320;BR129;L;aan fietsrekken r.o. Korte Vuldersstraat;;1543;51.2051079041271;3.2210902603767;30/10/2017
Zeebrugge;ZEEDIJK;ZB033;ZD;thv nr 29;Symbol (35, 0, 12);917;51.3285795900428;3.17699328268756;30/10/2017
Zeebrugge;KUSTLAAN;ZB036;F;aan tramhalte strandwijk;Symbol (35, 0, 12);960;51.3270602908432;3.18264571286083;30/10/2017
Sint-Pieters;SINT-PIETERSSTATIEDREEF;SP024;F;r.o. Wijnenburgstraat;Symbol (35, 0, 12);434;51.2214598021784;3.20161983950014;30/10/2017
Sint-Andries;KONING LEOPOLD III-LAAN;SA048;F;op hoek met Doornstraat thv nr92;;136;51.1918688666574;3.18574526893106;30/10/2017
Sint-Pieters;BLANKENBERGSE STEENWEG;SP114;F;aan bushalte t.h.v. VAB rijschool;;1711;51.2433499566263;3.19755528919426;30/10/2017
Zeebrugge;EVENDIJK-OOST;ZB092;F;thv glasbol;Symbol (35, 0, 12);629;51.3304199387194;3.21283081127063;30/10/2017
Centrum;COUPURE;BR304;F;r.o. nr 19;Symbol (35, 0, 12);1422;51.2077677778801;3.23380100226601;30/10/2017
Zeebrugge;ZEEDIJK;ZB031;ZD;thv nr 27;Symbol (35, 0, 12);919;51.3287714848723;3.17775413095132;30/10/2017
brugge centrum;STATIONSPLEIN;BR293;S;aan bushalte - perron 12 (middenperron);;1900;51.1985458998647;3.21810692892346;30/10/2017
Centrum;BUITEN DE SMEDENVEST;BR212;L;naast pagode;Symbol (35, 0, 12);715;51.208174312451;3.2123648463718;30/10/2017
Brugge;64;BR168;La;op hoek met Geldmuntstraat;;1544;51.2092105998613;3.22303060185191;30/10/2017
Zeebrugge;SINT-GEORGES-DAY-WANDELING;ZB020;ZD;eerste mand op de wandeling;Symbol (35, 0, 12);954;51.3302729380012;3.18303736546586;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM100;FL;park Bloemenoord bovenaan rotsformatie;;1667;51.1879808826236;3.2067128813235;30/10/2017
Assebroek;ASTRIDLAAN;AS028;F;thv nr 330;;19;51.1943526461584;3.26387034769525;30/10/2017
Christus-Koning;BEVRIJDINGSLAAN;CK039;F;aan buffelbrug;Symbol (35, 0, 12);1170;51.211988135197;3.20692899141226;30/10/2017
Sint-Kruis;AVIGNONLAAN;SK017;F;einde straat in doorsteek naar Moerkerkse Steenweg;;1630;51.2230912404994;3.28171554410483;30/10/2017
Sint-Kruis;GERALAAN;SK063;F;aan 1e doorgang tussen 2 parkings;;341;51.2190449599998;3.2475778634518;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;195;51.1930414539172;3.17948925414311;30/10/2017
Brugge;PAPEGAAISTRAAT;BR366;X;aan bank bij 't Papegaaitje;;1604;51.2176960526626;3.23461341201144;30/10/2017
Centrum;DIJVER;BR084;L;"aan kassa in inkom ""Groeninge""";Symbol (35, 0, 12);556;51.2058381763263;3.22584716152392;30/10/2017
Assebroek;KONINGIN ELISABETHSQUARE;AS048;F;voor OLV Asumpta-kerk;Symbol (35, 0, 12);1187;51.1951388467934;3.25073296942717;30/10/2017
Brugge;'T ZAND;BR239;L;naast parkeerhuisje r.o. nr. 26;;1633;51.2044680924814;3.21836550166187;30/10/2017
Centrum;WIJNGAARDPLEIN;BR110;L;aan paardenpomp;Symbol (35, 0, 12);992;51.2015865472459;3.22453130881083;30/10/2017
Zeebrugge;SINT-GEORGES-DAY-WANDELING;ZB014;F;;Symbol (35, 0, 12);955;51.3319672027688;3.18165679634588;30/10/2017
Dudzele;HERDERSBRUGGESTRAAT;DU011;F;op hoek met Watergang;Symbol (35, 0, 12);1055;51.2721202312324;3.22357310449078;30/10/2017
Centrum;KATELIJNEVEST;BR148;L;thv brug aan Poertoren;Symbol (35, 0, 12);980;51.198603199587;3.22486229562883;30/10/2017
Sint-Jozef;JAN LERNOUTSTRAAT;SJ042;F;aan picknickbanken naast De Grendel;Symbol (35, 0, 12);1309;51.2300734815397;3.2391571848844;30/10/2017
Assebroek;DAVERLOSTRAAT;AS030;F;aan banken naast Daverlostraat 347;Symbol (35, 0, 12);1318;51.1947066868039;3.25370486871796;30/10/2017
Centrum;BARGEWEG;BR177;L;busparking, aan banken op einde van wandelpad langs kanaal;Symbol (35, 0, 12);1305;51.1943425128568;3.22766494333106;30/10/2017
Centrum;SPEELMANSREI;BR376;F;r.o. nr 23;Symbol (35, 0, 12);845;51.2077011984102;3.21779858476113;30/10/2017
Sint-Pieters;TEMPELHOF;SP042;F;sportcomplex, aan spoorwegtunnel t.h.v. kabelbaan;Symbol (35, 0, 12);1509;51.2271845786196;3.20332063814291;30/10/2017
Sint-Andries;ZEEWEG;SAXXX;F;B-T-CH kasteel Tudor;Symbol (35, 0, 12);1413;51.1705797782466;3.16936216113855;30/10/2017
Sint-Michiels;;SM010;F;zijkant VHI, nabij brugje;Symbol (35, 0, 12);1279;51.193478654791;3.2162625592928;30/10/2017
Assebroek;GEMENEWEIDEWEG-ZUID;AS117;F;Domein Gemeneweidebeek, in de wegel recht tegenover Gemeneweideweg-Zuid nr.;Symbol (35, 0, 12);1525;51.1975089588074;3.26614401651051;30/10/2017
Assebroek;MISPELBILK;AS085;F;aan speelplein thv fietsrekken;;71;51.2048184180778;3.25709411603803;30/10/2017
;;;;;;1777;51.3194795769113;3.1860490078434;30/10/2017
Assebroek;DAVERLOPARK;AS018;F;aan bruinhouten barak jeugdbeweging;Symbol (35, 0, 12);1359;51.1942254885211;3.24728755430632;30/10/2017
Sint-Michiels;VLIERSTRAAT;SM055;F;aan speelplein op einde straat;Symbol (35, 0, 12);1148;51.1907039832508;3.20510554116029;30/10/2017
Centrum;KOMVEST;BR011;L;op hoek met Sint-Claradreef;Symbol (35, 0, 12);493;51.2188445539526;3.22124193443263;30/10/2017
Centrum;VRIJDAGMARKT;BR233;L;thv nr 11 (Wibra);Symbol (35, 0, 12);735;51.2050661639312;3.21685323385642;30/10/2017
Centrum;EZELSTRAAT;BR099;L;op hoek met Oude Zak;Symbol (35, 0, 12);568;51.2115670981967;3.22044526580259;30/10/2017
Sint-Andries;GISTELSE STEENWEG;SA006;F;aan bushalte thv nr 474;;113;51.1978061438903;3.18370235739813;30/10/2017
Sint-Andries;FRANS GEVAERTSTRAAT;SA105;F;aan speelplein, op einde straat in struiken;Symbol (35, 0, 12);1259;51.2078727828322;3.1999637908582;30/10/2017
Zeebrugge;ZEEDIJK;ZB132;ZD;thv nr 40;Symbol (35, 0, 12);909;51.3278770740832;3.17420168289349;30/10/2017
Zeebrugge;TIJDOKSTRAAT;ZB063;ZD;langs kaai (r.o. nr18);Symbol (35, 0, 12);589;51.3307057133798;3.20237088545257;30/10/2017
Koolkerke;ARENDSTRAAT;KO013;F;aan speelplein (naast nr22);Symbol (35, 0, 12);1138;51.2416957398404;3.24686408634143;30/10/2017
Zeebrugge;SINT-THOMAS MORUSSTRAAT;ZB030;ZD;op hoek met Zeedijk;Symbol (35, 0, 12);920;51.328726597841;3.17813076302582;30/10/2017
Assebroek;ASTRIDLAAN;AS031;F;aan bushalte r.o. nr. 544;;1837;51.1883924391583;3.28560411304427;30/10/2017
Centrum;;BR012;ZB;binnenplein Biekorf;Symbol (35, 0, 12);1112;51.2096545233517;3.2225897643968;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;268;51.1920006289713;3.18281880948455;30/10/2017
Centrum;SINT-SALVATORSKERKHOF;BR344;L;thv Heilige-Geeststraat;Symbol (35, 0, 12);1047;51.2052657810443;3.22214400775708;30/10/2017
Zeebrugge;ZEEDIJK;ZB133;ZD;r.o. autoparking;Symbol (35, 0, 12);908;51.3277371157142;3.17365223588913;30/10/2017
Centrum;WALPLEIN;BR101;L;r.o. nr 25;Symbol (35, 0, 12);570;51.2024109855517;3.22448120395814;30/10/2017
Zeebrugge;PLOEGSTRAAT;ZB090;F;aan bushalte tegenaan Marktplein;Symbol (35, 0, 12);1499;51.3304778603366;3.20962380862302;30/10/2017
Sint-Pieters;TER POELE;SP053;F;aan bank, ingang Sint-Pietersgroenestraat;Symbol (35, 0, 12);1185;51.2269936887605;3.210078518142;30/10/2017
Sint-Jozef;JAN LERNOUTSTRAAT;SJ034;F;aan vooringang De Grendel;;1865;51.230261012256;3.23862958249188;30/10/2017
Sint-Jozef;DUDZEELSE STEENWEG;SJ011;ZD;aan bushalte r.o. Dreef Ter Panne;;283;51.2306972078525;3.22843302345396;30/10/2017
Centrum;ZONNEKEMEERS;BR010;F;Oud Sint-Jan, parkje achterkant Technische Dienst;Symbol (35, 0, 12);492;51.2036136160614;3.22170313564316;30/10/2017
Centrum;KONINGIN ASTRIDPARK;BR067;L;r.o. splitsin naast lantaarnpaal;Symbol (35, 0, 12);541;51.2058926548041;3.23113663396048;30/10/2017
Sint-Pieters;SINT-PIETERSKERKLAAN;SP009;F;aan bushalte thv hoek Palingstraat;Symbol (35, 0, 12);422;51.2300008588322;3.20718143699273;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA024;F;aan voetbalkleedkamers;Symbol (35, 0, 12);1492;51.2016812720054;3.18017260497674;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1371;51.1940607873005;3.18024896550194;30/10/2017
brugge centrum;STATIONSPLEIN;BR290;S;aan bushalte - perron 9 (middenperron);;1897;51.1984172803686;3.21800850203318;30/10/2017
Sint-Kruis;BOOGSCHUTTERSLAAN;SK128;F;aan bank tegen achterzijde kerk;;1823;51.2141341880223;3.25036993780227;30/10/2017
Sint-Kruis;MAALSE STEENWEG;SK018;M;aan bushalte op hoek met Vijversdreef;;304;51.2073138583187;3.2799380412269;30/10/2017
Centrum;JAKOBINESSENSTRAAT;BR034;L;aan basketterrein nabij speelplein (inbang via nr 47);Symbol (35, 0, 12);1304;51.2035087000893;3.23135707894978;30/10/2017
Sint-Jozef;PANNEBEKESTRAAT;SJ058;FL;op speelplein aan picknickbank achter pompstation;;1908;51.2272695645054;3.23189720097145;30/10/2017
Centrum;BEGIJNENVEST;BR127;L;op hoek aan poertoren;Symbol (35, 0, 12);965;51.1987604396593;3.22326848830154;30/10/2017
Sint-Pieters;BLANKENBERGSE STEENWEG;SP021;F;op hoek met Tempelhof;Symbol (35, 0, 12);431;51.2258219687509;3.20616733310697;30/10/2017
Sint-Jozef;PANNEBEKESTRAAT;SJ017;FL;aanbushalte thv Ter Looigemweg;;289;51.2270427947644;3.23198472349939;30/10/2017
Centrum;WIJNGAARDPLEIN;BR113;L;aan sashuis;Symbol (35, 0, 12);968;51.2006289760425;3.22391434221682;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1324;51.1943661119261;3.17972662239317;30/10/2017
Sint-Jozef;DUDZEELSE STEENWEG;SJ015;F;aan bushalte thv Dreef Ter Panne;;287;51.2304968551061;3.22808538210421;30/10/2017
Brugge;PREDIKHERENREI;BR191;L;plein Rijksarchief kant rei;;1541;51.2087250210444;3.23316776542834;30/10/2017
Sint-Michiels;KONING ALBERT I-LAAN;SM138;FL;plein balkonrotonde onder aan trappen naar fietspad Rijselstraat;;1827;51.1951791445321;3.21504255167065;30/10/2017
Sint-Pieters;530;SP023;F;aan bushalte thv Sint-Pietersstatiedreef;Symbol (35, 0, 12);433;51.2231012661165;3.20278043181397;30/10/2017
Centrum;;BR214;L;;Symbol (35, 0, 12);717;51.2106385757495;3.23154305493041;30/10/2017
Dudzele;WESTKAPELSE STEENWEG;DU008;F;aan bushalte r.o. nr 80;Symbol (35, 0, 12);792;51.2772897129487;3.22970018354847;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;271;51.1913199251956;3.18358300862858;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB150;ZD;thv ... zonder nummer;Symbol (35, 0, 12);599;51.3330309290403;3.2050337002791;30/10/2017
Centrum;ARENTSHOF;BR088;L;aan trappen;Symbol (35, 0, 12);559;51.205304214895;3.22539535928156;30/10/2017
Koolkerke;NOORWEEGSE KAAI;KO015;F;thv brugje dat doorgang geeft naar Kapelstuk;;91;51.2287840974534;3.24760652573695;30/10/2017
Zeebrugge;REDERSKAAI;ZB076;ZD;r.o. nr 3;Symbol (35, 0, 12);619;51.3334680069888;3.20128238778804;30/10/2017
Centrum;ANNUNTIATENSTRAAT;BR036;F;speelplein, aan zanbak + hondentoilet;Symbol (35, 0, 12);515;51.2153697361383;3.22441064089053;30/10/2017
Sint-Pieters;RUSTENBURGSTRAAT;SP033;F;Van Geluweplein, aan speelplein;Symbol (35, 0, 12);1133;51.2201580120019;3.20527508808733;30/10/2017
Sint-Jozef;JAN LERNOUTSTRAAT;SJ035;F;aan achteringang De Grendel;;1866;51.2303807868813;3.23875261280388;30/10/2017
Centrum;POTTERIEREI;BR319;L;rechtover Sint-Leocollege (nr11);Symbol (35, 0, 12);822;51.2142342831518;3.22899404975833;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM115;F;aan fietsrekken naast kerk;Symbol (35, 0, 12);1260;51.188377571305;3.2115403863583;30/10/2017
Sint-Andries;EDGARD DE SMEDTPLANTSOEN;SA098;F;aan speelplein;;166;51.2021930196655;3.20794389215483;30/10/2017
Sint-Andries;JAN BREYDELLAAN;SA054;F;aan bushalte thv nr82;;142;51.211283825958;3.20636720123849;30/10/2017
Sint-Kruis;PETEGEMSTRAAT;SK035;FL;aan bushalte;;320;51.2172932844462;3.27173386421357;30/10/2017
Centrum;LANGESTRAAT;BR049;L;hoek Kerseboomstraat;Symbol (35, 0, 12);525;51.2103474129134;3.23501311601838;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM116;F;langs fietspad in park Bloemenoord aan rotsformaties;Symbol (35, 0, 12);1292;51.1879791030563;3.20683312785752;30/10/2017
Brugge centrum;KONING ALBERT I-LAAN;MA013;MA;aan tijdelijke bushalte aan zijkant concertgebouw;;1909;51.2039524727735;3.21798610587184;30/10/2017
Assebroek;BARON RUZETTELAAN;AS120;F;aan bushalte r.o. inrit randparking Steenbrugge;;1594;51.1800412594534;3.23466904140097;30/10/2017
Sint-Andries;KOUDE KEUKEN;SA020;F;aan vijver;Symbol (35, 0, 12);1224;51.2042751953121;3.18396052751133;30/10/2017
Koolkerke;KASTEELDREEF;KO005;F;aan bushalte op hoek Brugse Steenweg;;87;51.2363928580275;3.24539119316704;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;227;51.1938025719365;3.18176972191949;30/10/2017
Sint-Michiels;RIJSELSTRAAT;SM048;F;voorzijde gemeentehuis, aan banken;Symbol (35, 0, 12);1153;51.1883115848591;3.21095560210497;30/10/2017
Assebroek;KERKDREEF;AS154;FL;aan bushalte ter hoogte van Kerklaan;;1917;51.1871591329144;3.27409381493714;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;197;51.1928628492121;3.17970589580171;30/10/2017
Sint-Andries;OORLOGSVRIJWILLIGERSLAAN;SA134;F;aan banken langs verbindingspad Lange Molenstraat;Symbol (35, 0, 12);1263;51.1851979730372;3.1798107548303;30/10/2017
Zeebrugge;VISMIJNSTRAAT;ZB153;ZD;thv nr 111;Symbol (35, 0, 12);602;51.3333614385401;3.20635916665856;30/10/2017
Brugge;DIJVER;MA010;F-MA;aan voorlopige bushalte t.h.v. nr. 7;;1856;51.2064909137515;3.22657875917334;30/10/2017
Centrum;VLAMINGSTRAAT;BR018;L;thv nr 14;Symbol (35, 0, 12);498;51.209816688788;3.22466674160524;30/10/2017
Christus-Koning;BEVRIJDINGSLAAN;CK020;F;tussen bloedput en buffelbrug;Symbol (35, 0, 12);1169;51.2114246069023;3.20984889713376;30/10/2017
Sint-Kruis;BISSCHOPSDREEF;SK029;F;thv nr20;;314;51.2161133974876;3.25694309490357;30/10/2017
Centrum;ZUIDZANDSTRAAT;BR396;L;thv nr 44;Symbol (35, 0, 12);851;51.2053497600388;3.21909625466135;30/10/2017
Brugge;;MA007;MA;Ring, aan tijdelijke bushalte t.h.v. Oostmeers (kant Albertpark);;1869;51.199359030327;3.21917912305097;30/10/2017
Sint-Andries;SINT-HUBERTUSLAAN;SA090;F;aan bushalte thv nr 77 tegenaan Legeweg;;162;51.2061240880398;3.18435818175317;30/10/2017
Sint-Michiels;TER BEKE;SM023;FL;aan bushalte r.o. glasbol;Symbol (35, 0, 12);371;51.185229376541;3.21348082151709;30/10/2017
Sint-Kruis;;SK052;F;Gulden Kamer, tussen cafetaria en minipitch;;331;51.2182318072065;3.24798373591986;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1344;51.1906769464053;3.17967858538815;30/10/2017
Centrum;DR. SEBRECHTSPARK;BR318;L;aan bruine banken rug aan rug;Symbol (35, 0, 12);1031;51.2096413177857;3.21781899419041;30/10/2017
Sint-Andries;KONING LEOPOLD III-LAAN;SA132;F;thv nr 141 en r.o. school;;187;51.1903443895253;3.18742706374235;30/10/2017
Sint-Kruis;PAALBOS;SK010;F;naast bank aan voetbalterreintje;Symbol (35, 0, 12);1199;51.2007374899722;3.27191824769508;30/10/2017
Sint-Michiels;KONING ALBERT I-LAAN;SM111;F;Oesterparking -aan voetgangersuitgang kant psychiatrisch ziekenhuis;Symbol (35, 0, 12);410;51.1971006247487;3.21453527463985;30/10/2017
Sint-Andries;MAGDALENASTRAAT;SA093;F;parking Sint-Lodewijkscollege;Symbol (35, 0, 12);1235;51.201214984524;3.2099566934375;30/10/2017
Assebroek;LELIESTRAAT;AS011;F;"thv ingang domein ""De Lelie""";;10;51.1972655306412;3.24086968864492;30/10/2017
Assebroek;ASTRIDLAAN;AS050;F;aan bushalte thv nr 43;Symbol (35, 0, 12);1188;51.1993133085692;3.24941560454293;30/10/2017
Sint-Pieters;STEENKAAI;SP028;A;r.o. nr 21 (aan banken);Symbol (35, 0, 12);437;51.2181354324133;3.20488266440816;30/10/2017
Sint-Michiels;KERKEBEEKPAD;SM066;F;aan het brugje over het water, nabij de toegangspoort van het speelplein in;Symbol (35, 0, 12);1534;51.1770368430815;3.21094201617083;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1366;51.1938949532138;3.17989170050053;30/10/2017
Sint-Kruis;;SK122;FL;domein Gulden Kamer, aan minipitch tussen 2 banken;;1685;51.2179039413005;3.24818633384227;30/10/2017
Brugge centrum;HAUWERSTRAAT;MA008;MA;aan tijdelijke bushalte tegenaan Vrijdagmarkt;;1910;51.2043301118058;3.21675787833183;30/10/2017
Assebroek;SCHOOLSTRAAT;AS099;F;aan bank voor kerk op heok met St-Kristoffelstraat;;80;51.2017673573234;3.24925160659966;30/10/2017
Centrum;;BR058;F;Hof de Jonghe : aan bank langs wandelpad;Symbol (35, 0, 12);1105;51.2186913520804;3.22822098933789;30/10/2017
Sint-Andries;LEGEWEG;SA177;F;park Les Acacia, aan bank nabij klimtoren;;1922;51.2042391543935;3.20336543859922;30/10/2017
Sint-Jozef;BINNENWEG;SJ019;F;aan ingang entrepotgebouw;Symbol (35, 0, 12);1436;51.2258597161799;3.22562052365907;30/10/2017
Brugge;OOST-PROOSSE;BR365;F;t.h.v. nr. 18;;1605;51.217934182658;3.23545610169326;30/10/2017
Sint-Andries;WAGGELWATER;SA164;F;Waggelwaterbos : ingang kant spoorwegbrug;;1728;51.2168017664757;3.20033726633688;30/10/2017
Christus-Koning;KOLENKAAI;CK036;ZD;r.o. V. Fochstraat (aan pagode);Symbol (35, 0, 12);893;51.2199472607431;3.21594454003765;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;;223;51.1943330872554;3.18070680389703;30/10/2017
Zeebrugge;DUINPAD;ZB058;ZD;aan petanqueveld naast Stella-Mariskerk thv wegel;Symbol (35, 0, 12);943;51.328269621465;3.18190462944276;30/10/2017
Sint-Pieters;RUSTENBURGSTRAAT;SP032;F;Van Geluweplein, aan speelplein;Symbol (35, 0, 12);1132;51.2203441654913;3.20546789800258;30/10/2017
Centrum;WOLLESTRAAT;BR423;L;thv nr 22;Symbol (35, 0, 12);869;51.2073876936669;3.2263405217621;30/10/2017
Centrum;LANGESTRAAT;BR052;L;op plein r.o. nr135;Symbol (35, 0, 12);526;51.2117742116372;3.23758174784404;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1343;51.1906315566075;3.17942893381191;30/10/2017
Zeebrugge;KUSTLAAN;ZB141;F;aan tramhalte dorp (aan halte zelf op middenberm);Symbol (35, 0, 12);625;51.3318123636093;3.2065014463785;30/10/2017
Centrum;ZUIDZANDSTRAAT;BR397;L;thv nr 13;Symbol (35, 0, 12);852;51.2054218153301;3.21995229135564;30/10/2017
Centrum;MARKT;BR391;L;rechts naast ingang halletoren;Symbol (35, 0, 12);849;51.2082955143246;3.22470772754531;30/10/2017
Zeebrugge;SINT-GEORGES-DAY-WANDELING;ZB016;F;;Symbol (35, 0, 12);950;51.3314087214065;3.1821260862036;30/10/2017
Centrum;HOEFIJZERLAAN;BR312;F;op hoek met Mortierstraat;Symbol (35, 0, 12);820;51.2082560185433;3.21574816337599;30/10/2017
Sint-Jozef;GANDHIPLEIN;SJ005;F;aan skatepark;Symbol (35, 0, 12);1442;51.2306195841561;3.23446314054797;30/10/2017
Sint-Michiels;KONINGIN ASTRIDLAAN;SM092;F;op hoek met Graaf Pierre De Brieylaan;Symbol (35, 0, 12);400;51.1877079783978;3.19394064106564;30/10/2017
Sint-Andries;KAMPERFOELIESTRAAT;SA157;F;aan petanqueplein naast speelplein;;1705;51.1849311160905;3.17586519764301;30/10/2017
Sint-Andries;OLYMPIAPARK;SAXXX;F;;Symbol (35, 0, 12);1385;51.1942259305245;3.1809990904289;30/10/2017
Centrum;STATIONSPLEIN;BR439;L;onder brug tussen Stationsplein en Huis van de Bruggeling;Symbol (35, 0, 12);1433;51.1971692109248;3.21901987776432;30/10/2017
Christus-Koning;GULDEN-VLIESLAAN;CK033;L;r.o. nr 10;Symbol (35, 0, 12);883;51.2104088159176;3.21369319083654;30/10/2017
Centrum;GRUUTHUSE;BR091;L;op binnenplein;Symbol (35, 0, 12);1358;51.2049817689261;3.22476682620278;30/10/2017
Centrum;VULDERSREITJE;BR076;L;naast basketterrein;Symbol (35, 0, 12);1146;51.2118846054429;3.23616026178086;30/10/2017
Centrum;COUPURE;BR116;F;r.o. Gapaardstraat;Symbol (35, 0, 12);637;51.2057846774991;3.23558146733794;30/10/2017
Sint-Kruis;KAREL VAN MANDERSTRAAT;SK100;F;aan brug Zuidervaartje;Symbol (35, 0, 12);1120;51.2215083304893;3.2415698134105;30/10/2017
Zeebrugge;OMOOKAAI;ZB077;ZD;aan 1e wegel naar Visserskruis;Symbol (35, 0, 12);620;51.3330715087932;3.19938146151;30/10/2017
Sint-Michiels;SPOORWEGSTRAAT;SM054;F;aan schoolingang;Symbol (35, 0, 12);1278;51.1937590940912;3.21864215588303;30/10/2017
Brugge-Centrum;NOORDZANDSTRAAT;BR490;L;t.h.v. nr. 63 (hoek Dweersstraat);;1860;51.2067159644202;3.21938277659464;30/10/2017
Sint-Andries;DOORNSTRAAT;SA050;F;r.o. Betferkerklaan;;138;51.1891907858271;3.18159007721951;30/10/2017
